 time            v(vinp1_IF)     v(vinn1_IF)     v(vinp2_IF)     v(vinn2_IF)     v(LO_I)         v(LO_IX)        v(LO_Q)         v(LO_QX)        v(vout_RF)      v(vout_RF_filt)
 1.34384550e-05  4.07122252e-01  1.09287775e+00  8.29656308e-02  1.41703437e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  8.36593617e-02  2.19003831e-01 
 1.34387535e-05  4.07278153e-01  1.09272185e+00  8.28855153e-02  1.41711448e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  8.39709219e-02  2.29638789e-01 
 1.34393505e-05  4.07590012e-01  1.09240999e+00  8.27253936e-02  1.41727461e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  8.40609137e-02  2.48835930e-01 
 1.34404891e-05  4.08184918e-01  1.09181508e+00  8.24204543e-02  1.41757955e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  8.41398399e-02  2.77195806e-01 
 1.34427215e-05  4.09352172e-01  1.09064783e+00  8.18240819e-02  1.41817592e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  8.41426516e-02  2.98947821e-01 
 1.34450303e-05  4.10560505e-01  1.08943950e+00  8.12094280e-02  1.41879057e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  8.37913093e-02  2.74475528e-01 
 1.34464286e-05  4.11292814e-01  1.08870719e+00  8.08382541e-02  1.41916175e+00  0.00000000e+00  2.54109884e-10  1.50000000e+00  0.00000000e+00  8.33874522e-02  2.37777362e-01 
 1.34464296e-05  4.11293338e-01  1.08870666e+00  8.08379889e-02  1.41916201e+00  0.00000000e+00  1.50000000e-01  1.50000000e+00  0.00000000e+00  8.33871516e-02  2.37745207e-01 
 1.34464316e-05  4.11294386e-01  1.08870561e+00  8.08374586e-02  1.41916254e+00  0.00000000e+00  4.50000000e-01  1.50000000e+00  0.00000000e+00  8.33865214e-02  2.37680879e-01 
 1.34464356e-05  4.11296481e-01  1.08870352e+00  8.08363979e-02  1.41916360e+00  0.00000000e+00  1.05000000e+00  1.50000000e+00  0.00000000e+00  8.33851207e-02  2.37552134e-01 
 1.34464386e-05  4.11298053e-01  1.08870195e+00  8.08356024e-02  1.41916440e+00  0.00000000e+00  1.50000000e+00  1.50000000e+00  0.00000000e+00  8.33839607e-02  2.37455496e-01 
 1.34464394e-05  4.11298472e-01  1.08870153e+00  8.08353903e-02  1.41916461e+00  0.00000000e+00  1.50000000e+00  1.38000000e+00  0.00000000e+00  8.33835939e-02  2.37429712e-01 
 1.34464410e-05  4.11299310e-01  1.08870069e+00  8.08349660e-02  1.41916503e+00  0.00000000e+00  1.50000000e+00  1.14000000e+00  0.00000000e+00  8.33829160e-02  2.37378132e-01 
 1.34464438e-05  4.11300810e-01  1.08869919e+00  8.08342070e-02  1.41916579e+00  0.00000000e+00  1.50000000e+00  7.10638401e-01  0.00000000e+00  8.33819404e-02  2.37285809e-01 
 1.34464486e-05  4.11303292e-01  1.08869671e+00  8.08329508e-02  1.41916705e+00  0.00000000e+00  1.50000000e+00  8.41602343e-11  0.00000000e+00  8.33807174e-02  2.37132869e-01 
