 time            v(vinp_Q)       v(vinn_Q)       v(vinp_I)       v(vinn_I)       v(LO_I)         v(LO_IX)        v(LO_Q)         v(LO_QX)        v(vout_RF)      v(vout_RF_filt)
 8.03573600e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.11466738e+00 -2.12747692e-01 
 8.03573781e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.11473017e+00 -2.12658484e-01 
 8.03574144e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.11485559e+00 -2.12480003e-01 
 8.03574869e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.11510602e+00 -2.12122783e-01 
 8.03575962e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.11548213e+00 -2.11583919e-01 
 8.03577107e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.11587459e+00 -2.11018364e-01 
 8.03577916e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.11615079e+00 -2.10618377e-01 
 8.03578756e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.11643671e+00 -2.10202529e-01 
 8.03579697e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.11675581e+00 -2.09736429e-01 
 8.03580417e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.11699993e+00 -2.09379324e-01 
 8.03581001e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.11719710e+00 -2.09089018e-01 
 8.03581539e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.11737670e+00 -2.08822141e-01 
