 time            v(vin_tg)       v(vout_tg_on)   v(vout_tg_off) 
 2.78280000e-03  1.90450564e-02  1.90444530e-02  8.20164008e-01 
 2.79280000e-03  3.23475154e-02  3.23467254e-02  8.20163290e-01 
 2.80280000e-03  4.90742024e-02  4.90732237e-02  8.20162816e-01 
 2.81280000e-03  6.91591047e-02  6.91579347e-02  8.20162521e-01 
 2.82280000e-03  9.25229564e-02  9.25215915e-02  8.20162340e-01 
 2.83280000e-03  1.19073551e-01  1.19071986e-01  8.20162227e-01 
 2.84280000e-03  1.48706106e-01  1.48704335e-01  8.20162153e-01 
 2.85280000e-03  1.81303674e-01  1.81301689e-01  8.20162103e-01 
 2.86280000e-03  2.16737609e-01  2.16735398e-01  8.20162066e-01 
 2.87280000e-03  2.54868068e-01  2.54865617e-01  8.20162040e-01 
 2.88280000e-03  2.95544568e-01  2.95541858e-01  8.20162022e-01 
 2.89280000e-03  3.38606577e-01  3.38603582e-01  8.20162008e-01 
 2.90280000e-03  3.83884150e-01  3.83880833e-01  8.20161999e-01 
 2.91280000e-03  4.31198596e-01  4.31194908e-01  8.20161993e-01 
 2.92280000e-03  4.80363188e-01  4.80359057e-01  8.20161988e-01 
 2.93280000e-03  5.31183894e-01  5.31179215e-01  8.20161985e-01 
 2.94280000e-03  5.83460148e-01  5.83454757e-01  8.20161983e-01 
 2.95280000e-03  6.36985641e-01  6.36979270e-01  8.20161981e-01 
 2.96280000e-03  6.91549132e-01  6.91541312e-01  8.20161979e-01 
 2.97280000e-03  7.46935282e-01  7.46925129e-01  8.20161978e-01 
 2.98280000e-03  8.02925510e-01  8.02911273e-01  8.20161976e-01 
 2.99280000e-03  8.59298845e-01  8.59277495e-01  8.20161975e-01 
 3.00280000e-03  9.15832810e-01  9.15803330e-01  8.20161974e-01 
 3.01280000e-03  9.72304290e-01  9.72275565e-01  8.20161972e-01 
 3.02280000e-03  1.02849042e+00  1.02846912e+00  8.20161970e-01 
 3.03280000e-03  1.08416945e+00  1.08415413e+00  8.20161967e-01 
 3.04280000e-03  1.13912166e+00  1.13911002e+00  8.20161963e-01 
 3.05280000e-03  1.19313015e+00  1.19312084e+00  8.20161958e-01 
 3.06280000e-03  1.24598180e+00  1.24597406e+00  8.20161949e-01 
 3.07280000e-03  1.29746802e+00  1.29746141e+00  8.20161935e-01 
 3.08280000e-03  1.34738561e+00  1.34737986e+00  8.20161912e-01 
 3.09280000e-03  1.39553757e+00  1.39553251e+00  8.20161876e-01 
 3.10280000e-03  1.44173388e+00  1.44172938e+00  8.20161821e-01 
 3.11280000e-03  1.48579220e+00  1.48578819e+00  8.20161743e-01 
 3.12280000e-03  1.52753868e+00  1.52753509e+00  8.20161649e-01 
 3.13280000e-03  1.56680854e+00  1.56680533e+00  8.20161608e-01 
 3.14280000e-03  1.60344682e+00  1.60344395e+00  8.20161927e-01 
 3.15280000e-03  1.63730891e+00  1.63730636e+00  8.20163677e-01 
 3.16280000e-03  1.66826118e+00  1.66825893e+00  8.20170098e-01 
 3.17280000e-03  1.69618148e+00  1.69617951e+00  8.20189414e-01 
 3.18280000e-03  1.72095961e+00  1.72095791e+00  8.20239431e-01 
 3.19280000e-03  1.74249779e+00  1.74249636e+00  8.20352290e-01 
 3.20280000e-03  1.76071101e+00  1.76070984e+00  8.20575190e-01 
 3.21280000e-03  1.77552740e+00  1.77552648e+00  8.20961838e-01 
 3.22280000e-03  1.78688849e+00  1.78688782e+00  8.21553142e-01 
 3.23280000e-03  1.79474943e+00  1.79474901e+00  8.22353760e-01 
 3.24280000e-03  1.79907920e+00  1.79907903e+00  8.23317395e-01 
 3.25280000e-03  1.79986072e+00  1.79986079e+00  8.24351843e-01 
 3.26280000e-03  1.79709090e+00  1.79709122e+00  8.25344463e-01 
 3.27280000e-03  1.79078068e+00  1.79078124e+00  8.26196853e-01 
 3.28280000e-03  1.78095494e+00  1.78095575e+00  8.26852193e-01 
 3.29280000e-03  1.76765248e+00  1.76765355e+00  8.27303489e-01 
 3.30280000e-03  1.75092580e+00  1.75092711e+00  8.27582258e-01 
 3.31280000e-03  1.73084090e+00  1.73084247e+00  8.27737251e-01 
 3.32280000e-03  1.70747704e+00  1.70747889e+00  8.27815312e-01 
 3.33280000e-03  1.68092645e+00  1.68092857e+00  8.27851285e-01 
 3.34280000e-03  1.65129389e+00  1.65129631e+00  8.27866675e-01 
 3.35280000e-03  1.61869633e+00  1.61869905e+00  8.27872907e-01 
